"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Lakhs)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 09-Feb-2024"
"NIFTY 50","23,383.55","23,390.05","23,285.10","23,381.60","23,298.15","-","-83.45","-0.36","5,47,19,074","6,11,251.32","26,277.35","21,281.45","-0.21","7.34"
"ADANIENT","2,312.00","2,393.50","2,310.05","2,290.80","2,389.00","-","98.20","4.29","17,19,758","40,670.73","3,743.90","2,025.00","-3.52","-28.75"
"GRASIM","2,460.00","2,542.00","2,456.05","2,473.25","2,525.00","-","51.75","2.09","6,56,522","16,531.55","2,877.75","2,027.50","4.62","14.05"
"INFY","1,883.10","1,903.00","1,883.10","1,880.30","1,902.00","-","21.70","1.15","6,84,002","12,970.80","2,006.45","1,358.35","-4.41","12.64"
"ADANIPORTS","1,144.20","1,160.00","1,136.85","1,144.20","1,155.70","-","11.50","1.01","8,16,676","9,385.81","1,621.40","995.65","2.88","-10.01"
"TRENT","5,211.55","5,249.90","5,171.10","5,196.75","5,240.00","-","43.25","0.83","3,79,116","19,781.06","8,345.00","3,700.10","-21.07","38.23"
"HCLTECH","1,742.80","1,749.00","1,733.85","1,733.85","1,747.90","-","14.05","0.81","3,74,007","6,521.07","2,012.20","1,235.00","-13.09","6.33"
"TECHM","1,706.00","1,709.00","1,688.60","1,699.05","1,708.90","-","9.85","0.58","2,65,299","4,510.30","1,807.70","1,162.95","-0.38","29.59"
"HINDALCO","594.05","607.00","593.50","596.00","599.35","-","3.35","0.56","18,70,022","11,254.54","772.65","496.35","3.75","0.79"
"TATACONSUM","1,029.90","1,035.45","1,026.30","1,027.50","1,032.25","-","4.75","0.46","2,62,147","2,706.80","1,256.44","882.90","5.62","-9.01"
"CIPLA","1,465.00","1,467.95","1,450.60","1,458.85","1,464.10","-","5.25","0.36","3,00,162","4,384.71","1,702.05","1,317.25","-0.68","1.33"
"INDUSINDBK","1,063.50","1,074.90","1,063.50","1,068.00","1,070.90","-","2.90","0.27","5,33,725","5,710.91","1,576.35","923.70","13.91","-28.14"
"JSWSTEEL","950.05","967.50","948.55","959.15","961.50","-","2.35","0.25","4,65,349","4,476.15","1,063.00","761.75","6.56","18.16"
"MARUTI","12,899.95","13,017.25","12,868.65","12,900.75","12,929.95","-","29.20","0.23","65,380","8,476.82","13,680.00","10,640.15","10.92","20.20"
"BHARTIARTL","1,706.00","1,706.00","1,692.00","1,693.05","1,696.70","-","3.65","0.22","24,16,708","41,047.79","1,779.00","1,097.65","4.77","51.13"
"AXISBANK","1,009.00","1,016.35","1,009.00","1,011.75","1,013.65","-","1.90","0.19","6,60,460","6,691.85","1,339.65","933.50","-2.78","-3.77"
"NESTLEIND","2,221.05","2,232.10","2,213.05","2,221.05","2,221.65","-","0.60","0.03","64,858","1,441.59","2,778.00","2,131.25","-1.19","-9.35"
"TCS","4,018.40","4,040.00","4,005.05","4,036.95","4,036.95","-","-","-","4,05,795","16,324.00","4,592.25","3,591.50","-5.36","-2.34"
"RELIANCE","1,264.55","1,264.55","1,250.05","1,253.65","1,253.30","-","-0.35","-0.03","18,01,385","22,659.44","1,608.80","1,201.50","0.95","-57.09"
"NTPC","312.35","312.35","307.40","310.50","310.25","-","-0.25","-0.08","14,43,242","4,466.55","448.45","296.85","0.73","-4.43"
"SUNPHARMA","1,725.20","1,732.60","1,713.15","1,732.10","1,730.70","-","-1.40","-0.08","2,37,066","4,091.10","1,960.35","1,377.20","-2.95","12.86"
"HINDUNILVR","2,371.00","2,377.95","2,356.00","2,361.45","2,356.00","-","-5.45","-0.23","1,34,879","3,195.78","3,035.00","2,172.05","-3.30","-2.59"
"TITAN","3,334.70","3,347.10","3,294.95","3,327.45","3,316.50","-","-10.95","-0.33","1,10,397","3,656.64","3,867.00","3,055.65","-3.28","-7.35"
"ITC","428.80","430.55","425.60","427.20","425.75","-","-1.45","-0.34","19,71,603","8,441.22","528.50","399.35","-3.98","2.82"
"WIPRO","319.50","320.40","317.00","319.05","317.95","-","-1.10","-0.34","19,80,572","6,313.87","324.60","208.50","6.16","-34.95"
"BAJFINANCE","8,299.00","8,355.10","8,251.55","8,286.80","8,255.05","-","-31.75","-0.38","2,47,199","20,501.57","8,662.80","6,187.80","13.70","24.53"
"ICICIBANK","1,255.85","1,260.70","1,251.50","1,262.60","1,257.15","-","-5.45","-0.43","15,28,787","19,209.51","1,362.35","985.25","1.02","24.92"
"ASIANPAINT","2,279.00","2,282.90","2,251.45","2,270.15","2,258.00","-","-12.15","-0.54","1,78,413","4,048.10","3,394.90","2,207.80","-2.18","-23.09"
"DRREDDY","1,220.00","1,222.90","1,205.15","1,220.95","1,214.10","-","-6.85","-0.56","2,60,909","3,160.81","1,421.49","1,120.00","-9.85","-80.17"
